From,To,Departure,Arrival,Price,Date,Service
LGA,OMA,06:19,08:13,239,07-01-2022,Spirit
OMA,LGA,06:11,08:31,249,03-02-2022,Spirit
LGA,OMA,08:04,10:59,136,12-01-2022,Spirit
OMA,LGA,07:39,10:24,219,11-02-2022,JetBlue
LGA,OMA,09:31,11:43,210,04-01-2022,JetBlue
OMA,LGA,09:15,12:03,99,14-02-2022,JetBlue
LGA,OMA,11:07,13:24,171,10-02-2022,JetBlue
OMA,LGA,11:08,13:07,175,21-01-2022,American Airlines
LGA,OMA,12:31,14:02,234,13-02-2022,JetBlue
OMA,LGA,12:18,14:56,172,08-02-2022,JetBlue
LGA,OMA,14:05,15:47,226,20-01-2022,JetBlue
OMA,LGA,13:37,15:08,250,09-02-2022,JetBlue
LGA,OMA,15:07,17:21,129,09-02-2022,JetBlue
OMA,LGA,15:03,16:42,135,07-02-2022,Spirit
LGA,OMA,16:35,18:56,144,15-01-2022,American Airlines
OMA,LGA,16:51,19:09,147,15-01-2022,Spirit
LGA,OMA,18:25,20:34,205,25-01-2022,JetBlue
OMA,LGA,18:12,20:17,242,28-01-2022,JetBlue
LGA,OMA,20:05,21:44,172,28-01-2022,American Airlines
OMA,LGA,20:05,22:06,261,08-02-2022,JetBlue
LGA,ORD,06:03,08:43,219,09-02-2022,Spirit
ORD,LGA,06:05,08:32,174,03-02-2022,JetBlue
LGA,ORD,07:50,10:08,164,07-02-2022,Spirit
ORD,LGA,08:25,10:34,157,26-01-2022,Spirit
LGA,ORD,09:11,10:42,172,05-02-2022,Spirit
ORD,LGA,09:42,11:32,169,31-01-2022,American Airlines
LGA,ORD,10:33,13:11,132,06-02-2022,Spirit
ORD,LGA,11:01,12:39,260,06-02-2022,Spirit
LGA,ORD,12:08,14:47,231,08-02-2022,Spirit
ORD,LGA,12:44,14:17,134,26-01-2022,American Airlines
LGA,ORD,14:19,17:09,190,16-01-2022,American Airlines
ORD,LGA,14:22,16:32,126,21-01-2022,JetBlue
LGA,ORD,15:04,17:23,189,09-02-2022,Spirit
ORD,LGA,15:58,18:40,173,08-01-2022,Spirit
LGA,ORD,17:06,20:00,95,11-01-2022,JetBlue
ORD,LGA,16:43,19:00,246,20-01-2022,American Airlines
LGA,ORD,18:33,20:22,143,01-02-2022,JetBlue
ORD,LGA,18:48,21:45,246,13-02-2022,Spirit
LGA,ORD,19:32,21:25,160,29-01-2022,American Airlines
ORD,LGA,19:50,22:24,269,09-02-2022,Spirit
LGA,MIA,06:33,09:14,172,05-02-2022,JetBlue
MIA,LGA,06:25,09:30,335,10-02-2022,Spirit
LGA,MIA,08:23,11:07,143,05-02-2022,Spirit
MIA,LGA,07:34,09:40,324,26-01-2022,American Airlines
LGA,MIA,09:25,12:46,295,23-01-2022,American Airlines
MIA,LGA,09:15,12:29,225,02-02-2022,American Airlines
LGA,MIA,11:08,14:38,262,27-01-2022,American Airlines
MIA,LGA,11:28,14:40,248,22-01-2022,JetBlue
LGA,MIA,12:37,15:05,170,28-01-2022,Spirit
MIA,LGA,12:05,15:30,330,20-01-2022,JetBlue
LGA,MIA,14:08,16:09,232,15-01-2022,Spirit
MIA,LGA,14:01,17:24,338,04-02-2022,JetBlue
LGA,MIA,15:23,18:49,150,02-02-2022,American Airlines
MIA,LGA,15:34,18:11,326,11-02-2022,American Airlines
LGA,MIA,16:50,19:26,304,05-01-2022,Spirit
MIA,LGA,17:07,20:04,291,02-02-2022,Spirit
LGA,MIA,18:07,21:30,355,24-01-2022,Spirit
MIA,LGA,18:23,21:35,134,05-01-2022,American Airlines
LGA,MIA,20:27,23:42,169,08-02-2022,American Airlines
MIA,LGA,19:53,22:21,173,14-01-2022,American Airlines
LGA,BOS,06:39,08:09,86,12-01-2022,American Airlines
BOS,LGA,06:17,08:26,89,04-01-2022,American Airlines
LGA,BOS,08:23,10:28,149,01-02-2022,JetBlue
BOS,LGA,08:04,10:11,95,14-01-2022,American Airlines
LGA,BOS,09:58,11:18,130,26-01-2022,American Airlines
BOS,LGA,09:45,11:50,172,31-01-2022,American Airlines
LGA,BOS,10:33,12:03,74,11-02-2022,Spirit
BOS,LGA,11:16,13:29,83,11-01-2022,Spirit
LGA,BOS,12:08,14:05,142,07-02-2022,Spirit
BOS,LGA,12:34,15:02,109,14-02-2022,JetBlue
LGA,BOS,13:39,15:30,74,30-01-2022,American Airlines
BOS,LGA,13:40,15:37,138,03-02-2022,JetBlue
LGA,BOS,15:25,16:58,62,09-02-2022,American Airlines
BOS,LGA,15:27,17:18,151,11-02-2022,JetBlue
LGA,BOS,17:03,18:03,103,19-01-2022,Spirit
BOS,LGA,17:11,18:30,108,10-02-2022,American Airlines
LGA,BOS,18:24,20:49,124,04-02-2022,Spirit
BOS,LGA,18:34,19:36,136,16-01-2022,Spirit
LGA,BOS,19:58,21:23,142,11-02-2022,Spirit
BOS,LGA,20:17,22:22,102,05-02-2022,Spirit
LGA,DAL,06:09,09:49,414,27-01-2022,JetBlue
DAL,LGA,06:12,10:22,230,12-02-2022,JetBlue
LGA,DAL,07:57,11:15,347,28-01-2022,American Airlines
DAL,LGA,07:53,11:37,433,11-01-2022,JetBlue
LGA,DAL,09:49,13:51,229,28-01-2022,Spirit
DAL,LGA,09:08,12:12,364,07-02-2022,JetBlue
