From,To,Price,Date,Service
LGA,OMA,239,05-01-2022,JetBlue
OMA,LGA,249,05-01-2022,Spirit
LGA,OMA,136,05-01-2022,Spirit
OMA,LGA,219,04-01-2022,JetBlue
LGA,OMA,210,04-01-2022,JetBlue
OMA,LGA,99,05-01-2022,JetBlue
LGA,OMA,171,22-01-2022,Spirit
OMA,LGA,175,03-01-2022,Spirit
LGA,OMA,234,05-01-2022,American Airlines
OMA,LGA,172,12-01-2022,Spirit
LGA,OMA,226,11-01-2022,JetBlue
OMA,LGA,250,05-01-2022,American Airlines
LGA,OMA,129,04-01-2022,JetBlue
OMA,LGA,135,20-01-2022,American Airlines
LGA,OMA,144,16-01-2022,American Airlines
OMA,LGA,147,14-01-2022,Spirit
LGA,OMA,205,18-01-2022,Spirit
OMA,LGA,242,18-01-2022,American Airlines
LGA,OMA,172,16-01-2022,JetBlue
OMA,LGA,261,06-01-2022,American Airlines
LGA,ORD,219,26-01-2022,JetBlue
ORD,LGA,174,16-01-2022,Spirit
LGA,ORD,164,24-01-2022,Spirit
ORD,LGA,157,04-01-2022,Spirit
LGA,ORD,172,19-01-2022,JetBlue
ORD,LGA,169,26-01-2022,American Airlines
LGA,ORD,132,05-01-2022,American Airlines
ORD,LGA,260,17-01-2022,JetBlue
LGA,ORD,231,06-01-2022,American Airlines
ORD,LGA,134,25-01-2022,American Airlines
LGA,ORD,190,21-01-2022,Spirit
ORD,LGA,126,07-01-2022,Spirit
LGA,ORD,189,20-01-2022,JetBlue
ORD,LGA,173,15-01-2022,Spirit
LGA,ORD,95,18-01-2022,JetBlue
ORD,LGA,246,26-01-2022,American Airlines
LGA,ORD,143,11-01-2022,Spirit
ORD,LGA,246,17-01-2022,JetBlue
LGA,ORD,160,09-01-2022,Spirit
ORD,LGA,269,13-01-2022,American Airlines
LGA,MIA,172,21-01-2022,American Airlines
MIA,LGA,335,14-01-2022,Spirit
LGA,MIA,143,06-01-2022,American Airlines
MIA,LGA,324,07-01-2022,JetBlue
LGA,MIA,295,13-01-2022,JetBlue
MIA,LGA,225,04-01-2022,American Airlines
LGA,MIA,262,18-01-2022,American Airlines
MIA,LGA,248,21-01-2022,Spirit
LGA,MIA,170,04-01-2022,American Airlines
MIA,LGA,330,21-01-2022,American Airlines
LGA,MIA,232,05-01-2022,JetBlue
MIA,LGA,338,08-01-2022,JetBlue
LGA,MIA,150,21-01-2022,JetBlue
